"Match","Date","Radiant","Dire","Winner","Round","Game","Time","Score"
"1697818230","08/08/15","EG","CDEC","RADIANT","Finals","4","39.13","27 - 9"
"1697737102","08/08/15","CDEC","EG","DIRE","Finals","3","59.90","18 - 28"
"1697676707","08/08/15","CDEC","EG","RADIANT","Finals","2","39.02","29 - 17"
"1697618202","08/08/15","CDEC","EG","DIRE","Finals","1","34.88","8 - 27"
"1697367568","08/08/15","EG","LGD.cn","RADIANT","LB Finals","2","49.02","24 - 20"
"1697230041","08/08/15","LGD.cn","EG","DIRE","LB Finals","1","58.88","29 - 31"
"1694785141","08/07/15","LGD.cn","VG","RADIANT","LB Finals","3","44.50","27 - 7"
"1694734460","08/07/15","VG","LGD.cn","DIRE","LB Finals","2","26.57","7 - 24"
"1694672562","08/07/15","LGD.cn","VG","DIRE","LB Finals","1","31.82","13 - 30"
"1694607827","08/07/15","CDEC","EG","RADIANT","UB Finals","2","20.75","13 - 6"
"1694506494","08/07/15","EG","CDEC","DIRE","UB Finals","1","47.28","18 - 24"
"1694392262","08/07/15","LGD.cn","VP 2","RADIANT","LB Semifinals","2","42.48","24 - 17"
"1694261668","08/07/15","VP 2","LGD.cn","DIRE","LB Semifinals","1","35.20","8 - 28"
"1692105377","08/06/15","EHOME","VG","DIRE","LB Semifinals","2","48.72","33 - 38"
"1692027822","08/06/15","VG","EHOME","RADIANT","LB Semifinals","1","54.63","29 - 19"
"1691952611","08/06/15","VP 2","Secret","RADIANT","LB Quarterfinals","3","55.57","45 - 32"
"1691887181","08/06/15","VP 2","Secret","RADIANT","LB Quarterfinals","2","39.60","35 - 21"
"1691817562","08/06/15","Secret","VP 2","RADIANT","LB Quarterfinals","1","29.28","24 - 11"
"1691714801","08/06/15","MVP Phoenix","VG","DIRE","LB Quarterfinals","2","33.88","5 - 24"
"1691612847","08/06/15","MVP Phoenix","VG","DIRE","LB Quarterfinals","1","40.30","21 - 34"
"1689893744","08/05/15","EHOME","EG","DIRE","UB Semifinals","3","43.17","5 - 19"
"1689812780","08/05/15","EG","EHOME","RADIANT","UB Semifinals","2","35.63","20 - 9"
"1689744737","08/05/15","EG","EHOME","DIRE","UB Semifinals","1","32.37","3 - 22"
"1689659635","08/05/15","LGD.cn","CDEC","DIRE","UB Semifinals","2","32.33","5 - 30"
"1689593268","08/05/15","LGD.cn","CDEC","DIRE","UB Semifinals","1","38.73","17 - 25"
"1689526977","08/05/15","Secret","iG","RADIANT","LB Round of 16","3","43.92","33 - 13"
"1689486729","08/05/15","Secret","iG","RADIANT","LB Round of 16","2","26.03","15 - 5"
"1689417916","08/05/15","iG","Secret","RADIANT","LB Round of 16","1","56.93","17 - 18"
"1689326808","08/05/15","VP 2","coL 2","RADIANT","LB Round of 16","3","43.82","31 - 12"
"1689199207","08/05/15","coL 2","VP 2","DIRE","LB Round of 16","2","50.38","19 - 34"
"1689080648","08/05/15","VP 2","coL 2","DIRE","LB Round of 16","1","50.22","34 - 31"
"1687304352","08/04/15","VG","C9","RADIANT","LB Round of 16","2","29.05","33 - 11"
"1687199442","08/04/15","VG","C9","RADIANT","LB Round of 16","1","70.88","50 - 37"
"1687118078","08/04/15","Empire","MVP Phoenix","DIRE","LB Round of 16","2","41.58","29 - 45"
"1687063262","08/04/15","MVP Phoenix","Empire","RADIANT","LB Round of 16","1","33.63","31 - 26"
"1687000541","08/04/15","Secret","EHOME","DIRE","UB Quarterfinals","2","37.63","13 - 27"
"1686931489","08/04/15","Secret","EHOME","DIRE","UB Quarterfinals","1","46.45","20 - 27"
"1686838227","08/04/15","coL 2","EG","DIRE","UB Quarterfinals","2","41.38","10 - 45"
"1686604927","08/04/15","coL 2","EG","DIRE","UB Quarterfinals","1","42.03","12 - 27"
"1685000902","08/03/15","iG","MVP HOT6","RADIANT","LB Round of 32","1","37.50","19 - 5"
"1684903975","08/03/15","Fnatic.MY","VP 2","DIRE","LB Round of 32","1","38.48","14 - 35"
"1684809000","08/03/15","NaVi","VG","DIRE","LB Round of 32","1","55.52","17 - 31"
"1684715899","08/03/15","MVP Phoenix","Nb","RADIANT","LB Round of 32","1","40.25","36 - 24"
"1684571786","08/03/15","C9","CDEC","DIRE","UB Quarterfinals","2","47.47","11 - 24"
"1684521403","08/03/15","C9","CDEC","DIRE","UB Quarterfinals","1","30.02","7 - 31"
"1684419960","08/03/15","Empire","LGD.cn","DIRE","UB Quarterfinals","3","48.67","5 - 31"
"1684334726","08/03/15","LGD.cn","Empire","DIRE","UB Quarterfinals","2","47.62","27 - 28"
"1684227514","08/03/15","Empire","LGD.cn","DIRE","UB Quarterfinals","1","52.83","30 - 26"
"1674031017","07/30/15","VP 2","Empire","DIRE","Tiebreaker","3","42.87","9 - 14"
"1673941543","07/30/15","VP 2","Empire","DIRE","Tiebreaker","2","49.15","19 - 26"
"1673865688","07/30/15","Empire","VP 2","DIRE","Tiebreaker","1","39.78","11 - 36"
"1673815749","07/30/15","EHOME","CDEC","DIRE","Group Stage","2","43.77","15 - 28"
"1673789962","07/30/15","Empire","MVP HOT6","RADIANT","Group Stage","2","29.78","26 - 13"
"1673748036","07/30/15","EHOME","CDEC","RADIANT","Group Stage","1","46.85","19 - 15"
"1673738064","07/30/15","MVP HOT6","Empire","DIRE","Group Stage","1","31.70","15 - 30"
"1673659546","07/30/15","EHOME","VP 2","RADIANT","Group Stage","2","59.17","34 - 33"
"1673630085","07/30/15","EG","CDEC","RADIANT","Group Stage","2","48.30","42 - 26"
"1673628179","07/30/15","Nb","MVP HOT6","RADIANT","Group Stage","2","55.52","35 - 44"
"1673584099","07/30/15","EHOME","VP 2","RADIANT","Group Stage","1","40.33","23 - 10"
"1673558412","07/30/15","Nb","MVP HOT6","DIRE","Group Stage","1","30.65","12 - 31"
"1673552043","07/30/15","EG","CDEC","RADIANT","Group Stage","1","41.97","27 - 26"
"1673477884","07/30/15","Fnatic.MY","coL 2","DIRE","Group Stage","2","37.73","21 - 28"
"1673447710","07/30/15","Nb","VG","DIRE","Group Stage","2","30.93","8 - 31"
"1673432700","07/30/15","iG","NaVi","RADIANT","Group Stage","2","30.75","18 - 10"
"1673371349","07/30/15","coL 2","Fnatic.MY","RADIANT","Group Stage","1","46.03","25 - 20"
"1673354401","07/30/15","NaVi","iG","DIRE","Group Stage","1","28.63","5 - 28"
"1673341849","07/30/15","Nb","VG","RADIANT","Group Stage","1","41.13","36 - 14"
"1673210350","07/30/15","coL 2","C9","RADIANT","Group Stage","2","49.75","31 - 23"
"1673208977","07/30/15","MVP Phoenix","Secret","DIRE","Group Stage","2","34.20","27 - 36"
"1673194213","07/30/15","Fnatic.MY","LGD.cn","DIRE","Group Stage","2","50.40","43 - 39"
"1673099701","07/30/15","LGD.cn","Fnatic.MY","RADIANT","Group Stage","1","29.02","29 - 6"
"1673081038","07/30/15","coL 2","C9","RADIANT","Group Stage","1","37.00","30 - 15"
"1673078706","07/30/15","Secret","MVP Phoenix","DIRE","Group Stage","1","37.67","23 - 40"
"1671437866","07/29/15","MVP HOT6","EHOME","DIRE","Group Stage","2","40.70","11 - 21"
"1671432637","07/29/15","Empire","EG","RADIANT","Group Stage","2","35.15","28 - 16"
"1671421953","07/29/15","VG","CDEC","DIRE","Group Stage","2","40.77","11 - 35"
"1671360687","07/29/15","Empire","EG","DIRE","Group Stage","1","36.43","9 - 28"
"1671358182","07/29/15","EHOME","MVP HOT6","RADIANT","Group Stage","1","38.98","39 - 13"
"1671340219","07/29/15","VG","CDEC","DIRE","Group Stage","1","47.13","19 - 24"
"1671274952","07/29/15","EG","EHOME","DIRE","Group Stage","2","46.93","13 - 17"
"1671265441","07/29/15","Nb","CDEC","DIRE","Group Stage","2","35.92","6 - 33"
"1671256008","07/29/15","VG","VP 2","DIRE","Group Stage","2","47.80","15 - 25"
"1671210956","07/29/15","Nb","CDEC","DIRE","Group Stage","1","32.83","10 - 23"
"1671208055","07/29/15","VG","VP 2","RADIANT","Group Stage","1","27.77","35 - 17"
"1671201476","07/29/15","EHOME","EG","DIRE","Group Stage","1","40.72","19 - 35"
"1671129267","07/29/15","Empire","Nb","RADIANT","Group Stage","2","46.48","35 - 29"
"1671123709","07/29/15","MVP HOT6","VP 2","DIRE","Group Stage","2","42.12","12 - 39"
"1671121575","07/29/15","MVP Phoenix","iG","RADIANT","Group Stage","2","29.35","25 - 15"
"1671067751","07/29/15","Nb","Empire","RADIANT","Group Stage","1","30.90","38 - 11"
"1671063488","07/29/15","VP 2","MVP HOT6","RADIANT","Group Stage","1","24.28","26 - 5"
"1670993670","07/29/15","MVP Phoenix","iG","RADIANT","Group Stage","1","72.75","40 - 37"
"1670974602","07/29/15","Secret","coL 2","RADIANT","Group Stage","2","25.75","38 - 15"
"1670963917","07/29/15","LGD.cn","NaVi","RADIANT","Group Stage","2","31.43","20 - 13"
"1670901885","07/29/15","C9","MVP Phoenix","RADIANT","Group Stage","2","26.78","28 - 21"
"1670865252","07/29/15","Secret","coL 2","RADIANT","Group Stage","1","50.05","38 - 32"
"1670863093","07/29/15","NaVi","LGD.cn","DIRE","Group Stage","1","41.82","13 - 32"
"1670808701","07/29/15","MVP Phoenix","C9","DIRE","Group Stage","1","32.87","21 - 41"
"1670707254","07/29/15","Secret","LGD.cn","DIRE","Group Stage","2","31.18","6 - 29"
"1670702068","07/29/15","Fnatic.MY","NaVi","RADIANT","Group Stage","2","70.37","36 - 32"
"1670686522","07/29/15","C9","iG","RADIANT","Group Stage","2","34.15","16 - 4"
"1670611989","07/29/15","Secret","LGD.cn","RADIANT","Group Stage","1","33.20","18 - 14"
"1670594877","07/29/15","iG","C9","DIRE","Group Stage","1","25.00","0 - 16"
"1670592135","07/29/15","NaVi","Fnatic.MY","RADIANT","Group Stage","1","43.62","42 - 15"
"1668862986","07/28/15","VG","EHOME","DIRE","Group Stage","2","51.93","15 - 33"
"1668839023","07/28/15","MVP HOT6","EG","DIRE","Group Stage","2","50.18","17 - 30"
"1668792831","07/28/15","Empire","CDEC","DIRE","Group Stage","2","44.18","19 - 44"
"1668758379","07/28/15","EHOME","VG","DIRE","Group Stage","1","60.78","30 - 35"
"1668751522","07/28/15","EG","MVP HOT6","RADIANT","Group Stage","1","53.53","37 - 16"
"1668725839","07/28/15","Empire","CDEC","DIRE","Group Stage","1","33.47","13 - 34"
"1668682748","07/28/15","VG","EG","DIRE","Group Stage","2","28.00","3 - 19"
"1668646062","07/28/15","Empire","VP 2","RADIANT","Group Stage","2","42.88","35 - 27"
"1668613457","07/28/15","Nb","EHOME","RADIANT","Group Stage","2","26.63","28 - 14"
"1668591683","07/28/15","EG","VG","RADIANT","Group Stage","1","65.48","49 - 32"
"1668579624","07/28/15","Empire","VP 2","RADIANT","Group Stage","1","51.12","47 - 33"
"1668556845","07/28/15","EHOME","Nb","RADIANT","Group Stage","1","38.92","24 - 10"
"1668507634","07/28/15","VP 2","CDEC","RADIANT","Group Stage","2","36.22","32 - 17"
"1668506691","07/28/15","NaVi","Secret","DIRE","Group Stage","2","41.78","20 - 29"
"1668493996","07/28/15","Fnatic.MY","MVP Phoenix","DIRE","Group Stage","2","21.28","11 - 28"
"1668437721","07/28/15","Secret","NaVi","RADIANT","Group Stage","1","35.85","22 - 17"
"1668434795","07/28/15","Fnatic.MY","MVP Phoenix","RADIANT","Group Stage","1","31.32","28 - 13"
"1668432255","07/28/15","VP 2","CDEC","RADIANT","Group Stage","1","41.80","28 - 16"
"1668345858","07/28/15","Secret","C9","RADIANT","Group Stage","2","27.47","17 - 10"
"1668338643","07/28/15","MVP Phoenix","LGD.cn","DIRE","Group Stage","2","32.32","6 - 28"
"1668319630","07/28/15","iG","coL 2","DIRE","Group Stage","2","37.85","19 - 29"
"1668245426","07/28/15","LGD.cn","MVP Phoenix","RADIANT","Group Stage","1","37.30","33 - 10"
"1668243304","07/28/15","iG","coL 2","RADIANT","Group Stage","1","28.92","34 - 8"
"1668240246","07/28/15","C9","Secret","DIRE","Group Stage","1","42.85","10 - 30"
"1668137863","07/28/15","coL 2","NaVi","RADIANT","Group Stage","2","30.85","36 - 11"
"1668110665","07/28/15","C9","Fnatic.MY","RADIANT","Group Stage","2","36.30","30 - 14"
"1668109169","07/28/15","iG","LGD.cn","RADIANT","Group Stage","2","41.42","19 - 18"
"1668012309","07/28/15","Fnatic.MY","C9","DIRE","Group Stage","1","39.97","16 - 36"
"1667995496","07/28/15","iG","LGD.cn","DIRE","Group Stage","1","43.28","8 - 18"
"1667987887","07/28/15","NaVi","coL 2","DIRE","Group Stage","1","64.10","33 - 30"
"1666577877","07/27/15","EHOME","Empire","DIRE","Group Stage","2","39.98","23 - 40"
"1666539842","07/27/15","MVP HOT6","VG","DIRE","Group Stage","2","49.13","23 - 46"
"1666460321","07/27/15","EHOME","Empire","RADIANT","Group Stage","1","71.80","36 - 35"
"1666453945","07/27/15","VG","MVP HOT6","DIRE","Group Stage","1","53.77","28 - 41"
"1666424868","07/27/15","EG","VP 2","DIRE","Group Stage","2","50.82","18 - 29"
"1666372636","07/27/15","MVP HOT6","CDEC","DIRE","Group Stage","2","33.93","12 - 25"
"1666366844","07/27/15","EG","VP 2","RADIANT","Group Stage","1","35.47","16 - 11"
"1666366213","07/27/15","Empire","VG","DIRE","Group Stage","2","46.47","21 - 37"
"1666308348","07/27/15","VG","Empire","RADIANT","Group Stage","1","39.52","28 - 14"
"1666286219","07/27/15","EG","Nb","RADIANT","Group Stage","2","45.18","28 - 19"
"1666276978","07/27/15","MVP HOT6","CDEC","DIRE","Group Stage","1","76.63","31 - 54"
"1666238587","07/27/15","EG","Nb","DIRE","Group Stage","1","32.47","6 - 26"
"1666209170","07/27/15","NaVi","MVP Phoenix","RADIANT","Group Stage","2","24.05","36 - 10"
"1666185341","07/27/15","iG","Fnatic.MY","DIRE","Group Stage","2","97.78","32 - 44"
"1666177296","07/27/15","VP 2","Nb","DIRE","Group Stage","2","33.97","13 - 28"
